Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  1.79      0.34     0.01  5172685     0.00     0.00  boost::icl::interval_traits<boost::icl::discrete_interval<int, std::less> >::lower(boost::icl::discrete_interval<int, std::less> const&)
  1.79      0.35     0.01  5172685     0.00     0.00  boost::enable_if<boost::icl::is_interval<boost::icl::discrete_interval<int, std::less> >, boost::icl::interval_traits<boost::icl::discrete_interval<int, std::less> >::domain_type>::type boost::icl::lower<boost::icl::discrete_interval<int, std::less> >(boost::icl::discrete_interval<int, std::less> const&)
  1.79      0.36     0.01  5172685     0.00     0.00  boost::icl::discrete_interval<int, std::less>::lower() const
  1.79      0.37     0.01  3996307     0.00     0.00  boost::icl::interval_bounds::right() const
  1.79      0.38     0.01  2898429     0.00     0.00  boost::icl::interval_bounds::closed()
  1.79      0.39     0.01  2825714     0.00     0.00  boost::icl::interval_bounds::left() const
  1.79      0.40     0.01  2206330     0.00     0.00  boost::icl::bounded_value<int>::value() const
  1.79      0.41     0.01  1170842     0.00     0.00  boost::icl::is_left_closed(boost::icl::interval_bounds)
  1.79      0.42     0.01  1170842     0.00     0.00  boost::enable_if<boost::icl::is_discrete_interval<boost::icl::discrete_interval<int, std::less> >, boost::icl::interval_traits<boost::icl::discrete_interval<int, std::less> >::domain_type>::type boost::icl::last<boost::icl::discrete_interval<int, std::less> >(boost::icl::discrete_interval<int, std::less> const&)
  1.79      0.43     0.01  1103165     0.00     0.00  boost::icl::operator|(boost::icl::interval_bounds, boost::icl::interval_bounds)
  1.79      0.44     0.01  1100802     0.00     0.00  std::_Rb_tree_const_iterator<boost::icl::discrete_interval<int, std::less> >::operator*() const
  1.79      0.45     0.01   568881     0.00     0.00  DisjointIntervalTree::insert(int, int)
  1.79      0.46     0.01   551458     0.00     0.00  boost::icl::interval_bounds::reverse_right() const
  1.79      0.47     0.01   548808     0.00     0.00  std::operator!=(std::_Rb_tree_const_iterator<boost::icl::discrete_interval<int, std::less> > const&, std::_Rb_tree_const_iterator<boost::icl::discrete_interval<int, std::less> > const&)
  1.79      0.48     0.01   548750     0.00     0.00  std::_Head_base<2ul, int, false>::_Head_base<int&>(int&)
  1.79      0.49     0.01   548750     0.00     0.00  std::_Tuple_impl<2ul, int, int>::_Tuple_impl<int&, int&, void>(int&, int&)
  1.79      0.50     0.01   546827     0.00     0.00  boost::icl::interval_base_set<boost::icl::split_interval_set<int, std::less, boost::icl::discrete_interval<int, std::less>, std::allocator>, int, std::less, boost::icl::discrete_interval<int, std::less>, std::allocator>::add_segment(boost::icl::discrete_interval<int, std::less> const&, std::_Rb_tree_const_iterator<boost::icl::discrete_interval<int, std::less> >&)
  1.79      0.51     0.01     4000     0.00     0.04  dis_insert(rb_tree*, int, int)
  1.79      0.52     0.01     3981     0.00     0.00  boost::icl::interval_bounds::right_open()
  1.79      0.53     0.01     1981     0.01     0.01  std::_Rb_tree<boost::icl::discrete_interval<int, std::less>, boost::icl::discrete_interval<int, std::less>, std::_Identity<boost::icl::discrete_interval<int, std::less> >, boost::icl::exclusive_less_than<boost::icl::discrete_interval<int, std::less> >, std::allocator<boost::icl::discrete_interval<int, std::less> > >::lower_bound(boost::icl::discrete_interval<int, std::less> const&)
  1.79      0.54     0.01     1611     0.01     0.01  __gnu_cxx::new_allocator<std::_Rb_tree_node<boost::icl::discrete_interval<int, std::less> > >::deallocate(std::_Rb_tree_node<boost::icl::discrete_interval<int, std::less> >*, unsigned long)
  0.89      0.55     0.01  1170842     0.00     0.00  boost::icl::numeric_minimum<int, std::less<int>, true>::is_less_than_or(int, bool)
  0.89      0.55     0.01  1168479     0.00     0.00  __gnu_cxx::__aligned_membuf<boost::icl::discrete_interval<int, std::less> >::_M_addr() const
  0.89      0.56     0.01   551458     0.00     0.00  boost::enable_if<boost::icl::has_dynamic_bounds<boost::icl::discrete_interval<int, std::less> >, boost::icl::discrete_interval<int, std::less>::bounded_domain_type>::type boost::icl::bounded_upper<boost::icl::discrete_interval<int, std::less> >(boost::icl::discrete_interval<int, std::less> const&)
  0.89      0.56     0.01   551458     0.00     0.00  boost::enable_if<boost::icl::has_dynamic_bounds<boost::icl::discrete_interval<int, std::less> >, boost::icl::discrete_interval<int, std::less>::bounded_domain_type>::type boost::icl::reverse_bounded_upper<boost::icl::discrete_interval<int, std::less> >(boost::icl::discrete_interval<int, std::less> const&)
  0.00      0.56     0.00  9903372     0.00     0.00  int& std::forward<int&>(std::remove_reference<int&>::type&)
  0.00      0.56     0.00  6343029     0.00     0.00  boost::icl::interval_traits<boost::icl::discrete_interval<int, std::less> >::upper(boost::icl::discrete_interval<int, std::less> const&)
  0.00      0.56     0.00  6343029     0.00     0.00  boost::icl::discrete_interval<int, std::less>::upper() const
  0.00      0.56     0.00  5240113     0.00     0.00  std::less<int>::operator()(int const&, int const&) const
  0.00      0.56     0.00  3512526     0.00     0.00  boost::icl::interval_bounds::bits() const
  0.00      0.56     0.00  2898429     0.00     0.00  boost::icl::interval_bounds::open()
  0.00      0.56     0.00  2341684     0.00     0.00  boost::icl::is_right_closed(boost::icl::interval_bounds)
  0.00      0.56     0.00  2206330     0.00     0.00  boost::icl::bounded_value<int>::bounded_value(int const&, boost::icl::interval_bounds)
  0.00      0.56     0.00  2206330     0.00     0.00  boost::icl::bounded_value<int>::bound() const
  0.00      0.56     0.00  2195000     0.00     0.00  int&& std::forward<int&&>(std::remove_reference<int&&>::type&)
  0.00      0.56     0.00  1170842     0.00     0.00  boost::icl::predecessor<int, std::less<int> >::apply(int)
  0.00      0.56     0.00  1170842     0.00     0.00  boost::enable_if<boost::icl::is_interval<boost::icl::discrete_interval<int, std::less> >, boost::icl::interval_traits<boost::icl::discrete_interval<int, std::less> >::domain_type>::type boost::icl::domain_prior<boost::icl::discrete_interval<int, std::less> >(boost::icl::interval_traits<boost::icl::discrete_interval<int, std::less> >::domain_type)
  0.00      0.56     0.00  1170842     0.00     0.00  boost::icl::numeric_minimum<int, std::less<int>, true>::is_less_than(int)
  0.00      0.56     0.00  1170842     0.00     0.00  boost::enable_if<boost::icl::is_discrete_interval<boost::icl::discrete_interval<int, std::less> >, boost::icl::interval_traits<boost::icl::discrete_interval<int, std::less> >::domain_type>::type boost::icl::first<boost::icl::discrete_interval<int, std::less> >(boost::icl::discrete_interval<int, std::less> const&)
  0.00      0.56     0.00  1170842     0.00     0.00  boost::icl::detail::predecessor<int, true>::apply(int)
  0.00      0.56     0.00  1170842     0.00     0.00  std::numeric_limits<int>::min()
  0.00      0.56     0.00  1168479     0.00     0.00  __gnu_cxx::__aligned_membuf<boost::icl::discrete_interval<int, std::less> >::_M_ptr() const
  0.00      0.56     0.00  1168479     0.00     0.00  std::_Rb_tree_node<boost::icl::discrete_interval<int, std::less> >::_M_valptr() const
  0.00      0.56     0.00  1105165     0.00     0.00  boost::icl::discrete_interval<int, std::less>::discrete_interval(int const&, int const&, boost::icl::interval_bounds, boost::icl::discrete_interval<int, std::less>*)
  0.00      0.56     0.00  1103165     0.00     0.00  boost::enable_if<boost::icl::is_discrete_interval<boost::icl::discrete_interval<int, std::less> >, bool>::type boost::icl::exclusive_less<boost::icl::discrete_interval<int, std::less> >(boost::icl::discrete_interval<int, std::less> const&, boost::icl::discrete_interval<int, std::less> const&)
  0.00      0.56     0.00  1097500     0.00     0.00  set_boundary(int*, dis_interval, dis_interval)
  0.00      0.56     0.00  1097500     0.00     0.00  rb_tree_change_node_data(rb_tree*, rb_node*, void const*)
  0.00      0.56     0.00   568499     0.00     0.00  DisjointIntervalTree::create_or_insert(std::shared_ptr<DisjointIntervalTree>&, int, int)
  0.00      0.56     0.00   568499     0.00     0.00  std::__shared_ptr<DisjointIntervalTree, (__gnu_cxx::_Lock_policy)2>::operator bool() const
  0.00      0.56     0.00   566882     0.00     0.00  std::__shared_ptr<DisjointIntervalTree, (__gnu_cxx::_Lock_policy)2>::get() const
  0.00      0.56     0.00   566882     0.00     0.00  std::__shared_ptr_access<DisjointIntervalTree, (__gnu_cxx::_Lock_policy)2, false, false>::_M_get() const
  0.00      0.56     0.00   566882     0.00     0.00  std::__shared_ptr_access<DisjointIntervalTree, (__gnu_cxx::_Lock_policy)2, false, false>::operator->() const
  0.00      0.56     0.00   551707     0.00     0.00  boost::enable_if<boost::icl::has_dynamic_bounds<boost::icl::discrete_interval<int, std::less> >, boost::icl::discrete_interval<int, std::less> >::type boost::icl::right_subtract<boost::icl::discrete_interval<int, std::less> >(boost::icl::discrete_interval<int, std::less>, boost::icl::discrete_interval<int, std::less> const&)
  0.00      0.56     0.00   551707     0.00     0.00  boost::enable_if<boost::icl::has_dynamic_bounds<boost::icl::discrete_interval<int, std::less> >, boost::icl::discrete_interval<int, std::less>::bounded_domain_type>::type boost::icl::reverse_bounded_lower<boost::icl::discrete_interval<int, std::less> >(boost::icl::discrete_interval<int, std::less> const&)
  0.00      0.56     0.00   551707     0.00     0.00  boost::icl::interval_bounds::reverse_left() const
  0.00      0.56     0.00   551458     0.00     0.00  boost::enable_if<boost::icl::has_dynamic_bounds<boost::icl::discrete_interval<int, std::less> >, boost::icl::discrete_interval<int, std::less> >::type boost::icl::left_subtract<boost::icl::discrete_interval<int, std::less> >(boost::icl::discrete_interval<int, std::less>, boost::icl::discrete_interval<int, std::less> const&)
  0.00      0.56     0.00   548750     0.00     0.00  DisjointIntervalTree::boundary(int, int)
  0.00      0.56     0.00   548750     0.00     0.00  std::_Head_base<0ul, int, false>::_M_head(std::_Head_base<0ul, int, false>&)
  0.00      0.56     0.00   548750     0.00     0.00  std::_Head_base<0ul, int, false>::_Head_base<int&>(int&)
  0.00      0.56     0.00   548750     0.00     0.00  std::_Head_base<1ul, int, false>::_M_head(std::_Head_base<1ul, int, false>&)
  0.00      0.56     0.00   548750     0.00     0.00  std::_Head_base<1ul, int, false>::_Head_base<int&>(int&)
  0.00      0.56     0.00   548750     0.00     0.00  std::_Head_base<2ul, int, false>::_M_head(std::_Head_base<2ul, int, false>&)
  0.00      0.56     0.00   548750     0.00     0.00  std::_Head_base<3ul, int, false>::_M_head(std::_Head_base<3ul, int, false>&)
  0.00      0.56     0.00   548750     0.00     0.00  std::_Head_base<3ul, int, false>::_Head_base<int&>(int&)
  0.00      0.56     0.00   548750     0.00     0.00  std::_Tuple_impl<0ul, int, int, int, int>::_M_head(std::_Tuple_impl<0ul, int, int, int, int>&)
  0.00      0.56     0.00   548750     0.00     0.00  std::_Tuple_impl<0ul, int, int, int, int>::_Tuple_impl<int&, int&, int&, int&, void>(int&, int&, int&, int&)
  0.00      0.56     0.00   548750     0.00     0.00  std::_Tuple_impl<1ul, int, int, int>::_M_head(std::_Tuple_impl<1ul, int, int, int>&)
  0.00      0.56     0.00   548750     0.00     0.00  std::_Tuple_impl<1ul, int, int, int>::_Tuple_impl<int&, int&, int&, void>(int&, int&, int&)
  0.00      0.56     0.00   548750     0.00     0.00  std::_Tuple_impl<2ul, int, int>::_M_head(std::_Tuple_impl<2ul, int, int>&)
  0.00      0.56     0.00   548750     0.00     0.00  std::_Tuple_impl<3ul, int>::_M_head(std::_Tuple_impl<3ul, int>&)
  0.00      0.56     0.00   548750     0.00     0.00  std::_Tuple_impl<3ul, int>::_Tuple_impl<int&>(int&)
  0.00      0.56     0.00   548750     0.00     0.00  std::tuple<int, int, int, int>::tuple<int&, int&, int&, int&, true>(int&, int&, int&, int&)
  0.00      0.56     0.00   548750     0.00     0.00  int& std::__get_helper<0ul, int, int, int, int>(std::_Tuple_impl<0ul, int, int, int, int>&)
  0.00      0.56     0.00   548750     0.00     0.00  int& std::__get_helper<1ul, int, int, int>(std::_Tuple_impl<1ul, int, int, int>&)
  0.00      0.56     0.00   548750     0.00     0.00  int& std::__get_helper<2ul, int, int>(std::_Tuple_impl<2ul, int, int>&)
  0.00      0.56     0.00   548750     0.00     0.00  int& std::__get_helper<3ul, int>(std::_Tuple_impl<3ul, int>&)
  0.00      0.56     0.00   548750     0.00     0.00  std::tuple_element<0ul, std::tuple<int, int, int, int> >::type&& std::get<0ul, int, int, int, int>(std::tuple<int, int, int, int>&&)
  0.00      0.56     0.00   548750     0.00     0.00  std::tuple_element<0ul, std::tuple<int, int, int, int> >::type& std::get<0ul, int, int, int, int>(std::tuple<int, int, int, int>&)
  0.00      0.56     0.00   548750     0.00     0.00  std::tuple_element<1ul, std::tuple<int, int, int, int> >::type&& std::get<1ul, int, int, int, int>(std::tuple<int, int, int, int>&&)
  0.00      0.56     0.00   548750     0.00     0.00  std::tuple_element<1ul, std::tuple<int, int, int, int> >::type& std::get<1ul, int, int, int, int>(std::tuple<int, int, int, int>&)
  0.00      0.56     0.00   548750     0.00     0.00  std::tuple_element<2ul, std::tuple<int, int, int, int> >::type&& std::get<2ul, int, int, int, int>(std::tuple<int, int, int, int>&&)
  0.00      0.56     0.00   548750     0.00     0.00  std::tuple_element<2ul, std::tuple<int, int, int, int> >::type& std::get<2ul, int, int, int, int>(std::tuple<int, int, int, int>&)
  0.00      0.56     0.00   548750     0.00     0.00  std::tuple_element<3ul, std::tuple<int, int, int, int> >::type&& std::get<3ul, int, int, int, int>(std::tuple<int, int, int, int>&&)
  0.00      0.56     0.00   548750     0.00     0.00  std::tuple_element<3ul, std::tuple<int, int, int, int> >::type& std::get<3ul, int, int, int, int>(std::tuple<int, int, int, int>&)
  0.00      0.56     0.00   546827     0.00     0.00  std::_Rb_tree_const_iterator<boost::icl::discrete_interval<int, std::less> >::operator++()
  0.00      0.56     0.00    72097     0.00     0.00  std::_Identity<boost::icl::discrete_interval<int, std::less> >::operator()(boost::icl::discrete_interval<int, std::less> const&) const
  0.00      0.56     0.00    67677     0.00     0.00  boost::enable_if<boost::icl::is_discrete_interval<boost::icl::discrete_interval<int, std::less> >, bool>::type boost::icl::non_empty::exclusive_less<boost::icl::discrete_interval<int, std::less> >(boost::icl::discrete_interval<int, std::less> const&, boost::icl::discrete_interval<int, std::less> const&)
  0.00      0.56     0.00    67677     0.00     0.00  boost::icl::exclusive_less_than<boost::icl::discrete_interval<int, std::less> >::operator()(boost::icl::discrete_interval<int, std::less> const&, boost::icl::discrete_interval<int, std::less> const&) const
  0.00      0.56     0.00    60081     0.00     0.00  std::_Rb_tree<boost::icl::discrete_interval<int, std::less>, boost::icl::discrete_interval<int, std::less>, std::_Identity<boost::icl::discrete_interval<int, std::less> >, boost::icl::exclusive_less_than<boost::icl::discrete_interval<int, std::less> >, std::allocator<boost::icl::discrete_interval<int, std::less> > >::_S_key(std::_Rb_tree_node<boost::icl::discrete_interval<int, std::less> > const*)
  0.00      0.56     0.00    60081     0.00     0.00  std::_Rb_tree<boost::icl::discrete_interval<int, std::less>, boost::icl::discrete_interval<int, std::less>, std::_Identity<boost::icl::discrete_interval<int, std::less> >, boost::icl::exclusive_less_than<boost::icl::discrete_interval<int, std::less> >, std::allocator<boost::icl::discrete_interval<int, std::less> > >::_S_value(std::_Rb_tree_node<boost::icl::discrete_interval<int, std::less> > const*)
  0.00      0.56     0.00    33436     0.00     0.00  std::_Rb_tree<boost::icl::discrete_interval<int, std::less>, boost::icl::discrete_interval<int, std::less>, std::_Identity<boost::icl::discrete_interval<int, std::less> >, boost::icl::exclusive_less_than<boost::icl::discrete_interval<int, std::less> >, std::allocator<boost::icl::discrete_interval<int, std::less> > >::_S_right(std::_Rb_tree_node_base*)
  0.00      0.56     0.00    31448     0.00     0.00  std::_Rb_tree<boost::icl::discrete_interval<int, std::less>, boost::icl::discrete_interval<int, std::less>, std::_Identity<boost::icl::discrete_interval<int, std::less> >, boost::icl::exclusive_less_than<boost::icl::discrete_interval<int, std::less> >, std::allocator<boost::icl::discrete_interval<int, std::less> > >::_S_left(std::_Rb_tree_node_base*)
  0.00      0.56     0.00    12886     0.00     0.00  boost::icl::discrete_interval<int, std::less> const& std::forward<boost::icl::discrete_interval<int, std::less> const&>(std::remove_reference<boost::icl::discrete_interval<int, std::less> const&>::type&)
  0.00      0.56     0.00    12172     0.00     0.00  std::_Rb_tree_iterator<boost::icl::discrete_interval<int, std::less> >::_Rb_tree_iterator(std::_Rb_tree_node_base*)
  0.00      0.56     0.00     8395     0.00     0.00  std::_Rb_tree<boost::icl::discrete_interval<int, std::less>, boost::icl::discrete_interval<int, std::less>, std::_Identity<boost::icl::discrete_interval<int, std::less> >, boost::icl::exclusive_less_than<boost::icl::discrete_interval<int, std::less> >, std::allocator<boost::icl::discrete_interval<int, std::less> > >::_M_end()
  0.00      0.56     0.00     7596     0.00     0.00  std::_Rb_tree<boost::icl::discrete_interval<int, std::less>, boost::icl::discrete_interval<int, std::less>, std::_Identity<boost::icl::discrete_interval<int, std::less> >, boost::icl::exclusive_less_than<boost::icl::discrete_interval<int, std::less> >, std::allocator<boost::icl::discrete_interval<int, std::less> > >::_S_key(std::_Rb_tree_node_base const*)
  0.00      0.56     0.00     7596     0.00     0.00  std::_Rb_tree<boost::icl::discrete_interval<int, std::less>, boost::icl::discrete_interval<int, std::less>, std::_Identity<boost::icl::discrete_interval<int, std::less> >, boost::icl::exclusive_less_than<boost::icl::discrete_interval<int, std::less> >, std::allocator<boost::icl::discrete_interval<int, std::less> > >::_S_value(std::_Rb_tree_node_base const*)
  0.00      0.56     0.00     7554     0.00     0.00  std::_Rb_tree_const_iterator<boost::icl::discrete_interval<int, std::less> >::_Rb_tree_const_iterator(std::_Rb_tree_iterator<boost::icl::discrete_interval<int, std::less> > const&)
  0.00      0.56     0.00     6470     0.00     0.00  std::__shared_ptr<DisjointIntervalTree, (__gnu_cxx::_Lock_policy)2>::~__shared_ptr()
  0.00      0.56     0.00     6470     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::~__shared_count()
  0.00      0.56     0.00     6468     0.00     0.00  __gnu_cxx::new_allocator<DisjointIntervalTree>::~new_allocator()
  0.00      0.56     0.00     6468     0.00     0.00  std::allocator<DisjointIntervalTree>::~allocator()
  0.00      0.56     0.00     6456     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.56     0.00     6444     0.00     0.00  std::_Rb_tree<boost::icl::discrete_interval<int, std::less>, boost::icl::discrete_interval<int, std::less>, std::_Identity<boost::icl::discrete_interval<int, std::less> >, boost::icl::exclusive_less_than<boost::icl::discrete_interval<int, std::less> >, std::allocator<boost::icl::discrete_interval<int, std::less> > >::_M_get_Node_allocator()
  0.00      0.56     0.00     5958     0.00     0.00  std::_Rb_tree<boost::icl::discrete_interval<int, std::less>, boost::icl::discrete_interval<int, std::less>, std::_Identity<boost::icl::discrete_interval<int, std::less> >, boost::icl::exclusive_less_than<boost::icl::discrete_interval<int, std::less> >, std::allocator<boost::icl::discrete_interval<int, std::less> > >::_M_begin()
  0.00      0.56     0.00     4853     0.00     0.00  std::shared_ptr<DisjointIntervalTree>::~shared_ptr()
  0.00      0.56     0.00     4853     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::__shared_count()
  0.00      0.56     0.00     4851     0.00     0.00  __gnu_cxx::new_allocator<DisjointIntervalTree>::new_allocator(__gnu_cxx::new_allocator<DisjointIntervalTree> const&)
  0.00      0.56     0.00     4851     0.00     0.00  __gnu_cxx::__aligned_buffer<DisjointIntervalTree>::_M_ptr()
  0.00      0.56     0.00     4851     0.00     0.00  __gnu_cxx::__aligned_buffer<DisjointIntervalTree>::_M_addr()
  0.00      0.56     0.00     4851     0.00     0.00  std::allocator<DisjointIntervalTree>::allocator(std::allocator<DisjointIntervalTree> const&)
  0.00      0.56     0.00     4851     0.00     0.00  std::_Sp_counted_ptr_inplace<DisjointIntervalTree, std::allocator<DisjointIntervalTree>, (__gnu_cxx::_Lock_policy)2>::_M_ptr()
  0.00      0.56     0.00     4851     0.00     0.00  std::remove_reference<DisjointIntervalTree*&>::type&& std::move<DisjointIntervalTree*&>(DisjointIntervalTree*&)
  0.00      0.56     0.00     4633     0.00     0.00  std::_Rb_tree_const_iterator<boost::icl::discrete_interval<int, std::less> >::operator--()
  0.00      0.56     0.00     4374     0.00     0.00  std::_Rb_tree_node_base*& std::forward<std::_Rb_tree_node_base*&>(std::remove_reference<std::_Rb_tree_node_base*&>::type&)
  0.00      0.56     0.00     3983     0.00     0.00  boost::icl::interval_base_set<boost::icl::split_interval_set<int, std::less, boost::icl::discrete_interval<int, std::less>, std::allocator>, int, std::less, boost::icl::discrete_interval<int, std::less>, std::allocator>::that()
  0.00      0.56     0.00     3962     0.00     0.00  boost::icl::identity_element<int>::value()
  0.00      0.56     0.00     3236     0.00     0.00  rb_node_create(void*, rb_node*, rb_node*, rb_node*, rb_color, unsigned long)
  0.00      0.56     0.00     3236     0.00     0.00  rb_tree_insert(rb_tree*, rb_node*)
  0.00      0.56     0.00     3236     0.00     0.00  rb_tree_repair(rb_tree*, rb_node*)
  0.00      0.56     0.00     3236     0.00     0.00  rb_tree_insert_child(rb_tree*, rb_node*, rb_node*)
  0.00      0.56     0.00     3236     0.00     0.00  rb_find_match_or_parent(rb_tree*, rb_node*)
  0.00      0.56     0.00     3236     0.00     0.00  std::shared_ptr<DisjointIntervalTree>::shared_ptr(decltype(nullptr))
  0.00      0.56     0.00     3236     0.00     0.00  std::shared_ptr<DisjointIntervalTree>::shared_ptr()
  0.00      0.56     0.00     3236     0.00     0.00  std::__shared_ptr<DisjointIntervalTree, (__gnu_cxx::_Lock_policy)2>::__shared_ptr()
  0.00      0.56     0.00     3234     0.00     0.00  __gthread_active_p()
  0.00      0.56     0.00     3234     0.00     0.00  __gnu_cxx::new_allocator<std::_Sp_counted_ptr_inplace<DisjointIntervalTree, std::allocator<DisjointIntervalTree>, (__gnu_cxx::_Lock_policy)2> >::new_allocator()
  0.00      0.56     0.00     3234     0.00     0.00  __gnu_cxx::new_allocator<std::_Sp_counted_ptr_inplace<DisjointIntervalTree, std::allocator<DisjointIntervalTree>, (__gnu_cxx::_Lock_policy)2> >::~new_allocator()
  0.00      0.56     0.00     3234     0.00     0.00  __gnu_cxx::__exchange_and_add_single(int*, int)
  0.00      0.56     0.00     3234     0.00     0.00  __gnu_cxx::__exchange_and_add_dispatch(int*, int)
  0.00      0.56     0.00     3234     0.00     0.00  std::allocator<std::_Sp_counted_ptr_inplace<DisjointIntervalTree, std::allocator<DisjointIntervalTree>, (__gnu_cxx::_Lock_policy)2> >::allocator<DisjointIntervalTree>(std::allocator<DisjointIntervalTree> const&)
  0.00      0.56     0.00     3234     0.00     0.00  std::allocator<std::_Sp_counted_ptr_inplace<DisjointIntervalTree, std::allocator<DisjointIntervalTree>, (__gnu_cxx::_Lock_policy)2> >::~allocator()
  0.00      0.56     0.00     3234     0.00     0.00  std::_Sp_ebo_helper<0, std::allocator<DisjointIntervalTree>, true>::_S_get(std::_Sp_ebo_helper<0, std::allocator<DisjointIntervalTree>, true>&)
  0.00      0.56     0.00     3234     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::_M_swap(std::__shared_count<(__gnu_cxx::_Lock_policy)2>&)
  0.00      0.56     0.00     3234     0.00     0.00  std::__allocated_ptr<std::allocator<std::_Sp_counted_ptr_inplace<DisjointIntervalTree, std::allocator<DisjointIntervalTree>, (__gnu_cxx::_Lock_policy)2> > >::__allocated_ptr(std::allocator<std::_Sp_counted_ptr_inplace<DisjointIntervalTree, std::allocator<DisjointIntervalTree>, (__gnu_cxx::_Lock_policy)2> >&, std::_Sp_counted_ptr_inplace<DisjointIntervalTree, std::allocator<DisjointIntervalTree>, (__gnu_cxx::_Lock_policy)2>*)
  0.00      0.56     0.00     3234     0.00     0.00  std::__allocated_ptr<std::allocator<std::_Sp_counted_ptr_inplace<DisjointIntervalTree, std::allocator<DisjointIntervalTree>, (__gnu_cxx::_Lock_policy)2> > >::~__allocated_ptr()
  0.00      0.56     0.00     3234     0.00     0.00  std::_Sp_counted_ptr_inplace<DisjointIntervalTree, std::allocator<DisjointIntervalTree>, (__gnu_cxx::_Lock_policy)2>::_Impl::_M_alloc()
  0.00      0.56     0.00     3234     0.00     0.00  std::allocator<std::_Sp_counted_ptr_inplace<DisjointIntervalTree, std::allocator<DisjointIntervalTree>, (__gnu_cxx::_Lock_policy)2> >* std::__addressof<std::allocator<std::_Sp_counted_ptr_inplace<DisjointIntervalTree, std::allocator<DisjointIntervalTree>, (__gnu_cxx::_Lock_policy)2> > >(std::allocator<std::_Sp_counted_ptr_inplace<DisjointIntervalTree, std::allocator<DisjointIntervalTree>, (__gnu_cxx::_Lock_policy)2> >&)
  0.00      0.56     0.00     3222     0.00     0.00  __gnu_cxx::__aligned_membuf<boost::icl::discrete_interval<int, std::less> >::_M_ptr()
  0.00      0.56     0.00     3222     0.00     0.00  __gnu_cxx::__aligned_membuf<boost::icl::discrete_interval<int, std::less> >::_M_addr()
  0.00      0.56     0.00     3222     0.00     0.00  std::_Rb_tree_node<boost::icl::discrete_interval<int, std::less> >::_M_valptr()
  0.00      0.56     0.00     2693     0.00     0.00  std::_Rb_tree_const_iterator<boost::icl::discrete_interval<int, std::less> >::_Rb_tree_const_iterator(std::_Rb_tree_node_base const*)
